rank,listing_type,id,name,author,author_alias,attribution_link,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot
118,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,3,3,160,160,157,157,snapshot_2026_05_26.json,snapshot_2026_05_23.json
119,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,3,3,153,153,150,150,snapshot_2026_05_26.json,snapshot_2026_05_23.json
120,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,3,3,151,151,148,148,snapshot_2026_05_26.json,snapshot_2026_05_23.json
121,map,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,3,3,151,151,148,148,snapshot_2026_05_26.json,snapshot_2026_05_23.json
122,map,yukina-northern-kyushu,福北 (Fukuoka & Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,140,140,137,137,snapshot_2026_05_26.json,snapshot_2026_05_23.json
123,map,florence,Florence,Maximilian284,max02,https://github.com/Maximilian284,3,3,138,138,135,135,snapshot_2026_05_26.json,snapshot_2026_05_23.json
124,map,colorado-ski-country,Colorado Ski Country,soccerjonj,soccerjonj,https://github.com/soccerjonj,3,3,132,132,129,129,snapshot_2026_05_26.json,snapshot_2026_05_23.json
125,map,jacksonville,Jacksonville,rslurry,slurry,https://github.com/rslurry,3,3,132,132,129,129,snapshot_2026_05_26.json,snapshot_2026_05_23.json
126,map,anchorage-ak,Anchorage,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,3,3,128,128,125,125,snapshot_2026_05_26.json,snapshot_2026_05_23.json
127,map,sejong-3,Sejong (30km×30km),kimth9,kimth9,https://github.com/kimth9,3,3,117,117,114,114,snapshot_2026_05_26.json,snapshot_2026_05_23.json
128,map,ciudad-juarez-el-paso,Ciudad Juárez-El Paso,rslurry,slurry,https://github.com/rslurry,3,3,115,115,112,112,snapshot_2026_05_26.json,snapshot_2026_05_23.json
129,map,daegu-4,Daegu (40km×40km),kimth9,kimth9,https://github.com/kimth9,3,3,100,100,97,97,snapshot_2026_05_26.json,snapshot_2026_05_23.json
130,map,garda-lake,Garda Lake,Maximilian284,max02,https://github.com/Maximilian284,3,3,94,94,91,91,snapshot_2026_05_26.json,snapshot_2026_05_23.json
131,map,san-antonio,San Antonio,rslurry,slurry,https://github.com/rslurry,3,3,94,94,91,91,snapshot_2026_05_26.json,snapshot_2026_05_23.json
132,map,yukina-nakaumi,中海 (Nakaumi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,86,86,83,83,snapshot_2026_05_26.json,snapshot_2026_05_23.json
133,map,cdmx-core,CDMX Core,rslurry,slurry,https://github.com/rslurry,3,3,82,82,79,79,snapshot_2026_05_26.json,snapshot_2026_05_23.json
134,map,daejeon-4,Daejeon (40km×40km),kimth9,kimth9,https://github.com/kimth9,3,3,66,66,63,63,snapshot_2026_05_26.json,snapshot_2026_05_23.json
135,map,gwangju-4,Gwangju (40km×40km),kimth9,kimth9,https://github.com/kimth9,3,3,64,64,61,61,snapshot_2026_05_26.json,snapshot_2026_05_23.json
136,map,yukina-cz-ceske-budejovice,České Budějovice,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,3,3,13,13,10,10,snapshot_2026_05_26.json,snapshot_2026_05_23.json
137,map,yukina-nagoya,名古屋 (Nagoya),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,412,412,410,410,snapshot_2026_05_26.json,snapshot_2026_05_23.json
138,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,367,367,365,365,snapshot_2026_05_26.json,snapshot_2026_05_23.json
139,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,2,2,335,335,333,333,snapshot_2026_05_26.json,snapshot_2026_05_23.json
140,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,2,2,244,244,242,242,snapshot_2026_05_26.json,snapshot_2026_05_23.json
141,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,2,2,207,207,205,205,snapshot_2026_05_26.json,snapshot_2026_05_23.json
142,map,sacramento,Sacramento,soccerjonj,soccerjonj,https://github.com/soccerjonj,2,2,146,146,144,144,snapshot_2026_05_26.json,snapshot_2026_05_23.json
143,map,richmond,Richmond,rslurry,slurry,https://github.com/rslurry,2,2,136,136,134,134,snapshot_2026_05_26.json,snapshot_2026_05_23.json
144,map,orange-county,Orange County,rslurry,slurry,https://github.com/rslurry,2,2,135,135,133,133,snapshot_2026_05_26.json,snapshot_2026_05_23.json
145,map,genoa,Genoa,Maximilian284,max02,https://github.com/Maximilian284,2,2,134,134,132,132,snapshot_2026_05_26.json,snapshot_2026_05_23.json
146,map,oklahoma-city,Oklahoma City,ryandicicco,ryandicicco,https://github.com/ryandicicco,2,2,131,131,129,129,snapshot_2026_05_26.json,snapshot_2026_05_23.json
147,map,jeju-f,Jeju (Full Island),kimth9,kimth9,https://github.com/kimth9,2,2,128,128,126,126,snapshot_2026_05_26.json,snapshot_2026_05_23.json
148,map,pianura-veneta,Pianura Veneta,Maximilian284,max02,https://github.com/Maximilian284,2,2,109,109,107,107,snapshot_2026_05_26.json,snapshot_2026_05_23.json
149,map,bari,Bari,Maximilian284,max02,https://github.com/Maximilian284,2,2,108,108,106,106,snapshot_2026_05_26.json,snapshot_2026_05_23.json
