rank,listing_type,id,name,author,author_alias,attribution_link,total_downloads,adjusted_total_downloads,latest_snapshot
45,map,ottawa,Ottawa,devenperez,devenperez,https://github.com/devenperez,381,381,snapshot_2026_05_12.json
46,map,rotterdam-the-hague,Rotterdam-The Hague,ryandicicco,ryandicicco,https://github.com/ryandicicco,364,364,snapshot_2026_05_12.json
47,map,incheon-4,Incheon (40km×40km),kimth9,kimth9,https://github.com/kimth9,361,361,snapshot_2026_05_12.json
48,map,calgary,Calgary,devenperez,devenperez,https://github.com/devenperez,353,353,snapshot_2026_05_12.json
49,map,yukina-okinawa,沖縄 (Okinawa),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,346,346,snapshot_2026_05_12.json
50,map,guangzhou,Guangzhou,Kronifer,Kronifer,https://github.com/Kronifer,344,344,snapshot_2026_05_12.json
51,map,baltimore-dc-corridor,Baltimore-DC Corridor,rslurry,slurry,https://github.com/rslurry,341,341,snapshot_2026_05_12.json
52,map,yukina-hiroshima-kure,広島 (Hiroshima),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,333,333,snapshot_2026_05_12.json
53,map,warsaw-val,Warsaw,Valdotorium,Valdotorium,https://github.com/Valdotorium,323,323,snapshot_2026_05_12.json
54,map,edmonton,Edmonton,devenperez,devenperez,https://github.com/devenperez,320,320,snapshot_2026_05_12.json
55,map,puerto-rico,Puerto Rico,rslurry,slurry,https://github.com/rslurry,319,319,snapshot_2026_05_12.json
56,map,quebec-city,Quebec City,devenperez,devenperez,https://github.com/devenperez,311,311,snapshot_2026_05_12.json
57,map,mfn-lasvegas,Las Vegas,crumpetime,muffintime,https://github.com/crumpetime,300,300,snapshot_2026_05_12.json
58,map,shanghai,Shanghai,Kronifer,Kronifer,https://github.com/Kronifer,274,274,snapshot_2026_05_12.json
59,map,charleston-huntington-wv,Charleston-Huntington,PSWBSF,Potato Spaghetti Water Balloon Space Federation,https://youtu.be/dQw4w9WgXcQ?t=0,262,262,snapshot_2026_05_12.json
60,map,winnipeg,Winnipeg,devenperez,devenperez,https://github.com/devenperez,256,256,snapshot_2026_05_12.json
61,map,tel-aviv,Tel Aviv,BarKuperman,BarKuperman,https://github.com/BarKuperman,251,251,snapshot_2026_05_12.json
62,map,cairo,Cairo,ryandicicco,ryandicicco,https://github.com/ryandicicco,244,244,snapshot_2026_05_12.json
63,map,greater-kuala-lumpur,Greater Kuala Lumpur,nzh0172,naz,https://github.com/nzh0172,240,240,snapshot_2026_05_12.json
64,map,mfn-madisonwi,Madison,crumpetime,muffintime,https://github.com/crumpetime,240,240,snapshot_2026_05_12.json
65,map,tampa-bay,Tampa Bay,rslurry,slurry,https://github.com/rslurry,240,240,snapshot_2026_05_12.json
66,map,bilbao,Bilbao,Maximilian284,max02,https://github.com/Maximilian284,238,238,snapshot_2026_05_12.json
67,map,busan-3,Busan (30km×30km),kimth9,kimth9,https://github.com/kimth9,236,236,snapshot_2026_05_12.json
68,map,yukina-kitakyushu-shimonoseki,北九州 (Kitakyūshū),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,231,231,snapshot_2026_05_12.json
69,map,yukina-kobe-akashi,神戸 (Kōbe),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,231,231,snapshot_2026_05_12.json
70,map,valencia,Valencia,Maximilian284,max02,https://github.com/Maximilian284,230,230,snapshot_2026_05_12.json
71,map,bangkok,Bangkok,nzh0172,naz,https://github.com/nzh0172,221,221,snapshot_2026_05_12.json
72,map,greatertwincities,Greater Twin Cities,DanielD1909,DanielD1909,https://github.com/DanielD1909,198,198,snapshot_2026_05_12.json
73,map,south-florida,South Florida,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,191,191,snapshot_2026_05_12.json
74,map,jerusalem,Jerusalem,BarKuperman,BarKuperman,https://github.com/BarKuperman,188,188,snapshot_2026_05_12.json
75,map,greater-newyork,Greater NYC,chasemanning040911-afk,lechicken,https://github.com/chasemanning040911-afk,186,186,snapshot_2026_05_12.json
76,map,yukina-sendai,仙台 (Sendai),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,186,186,snapshot_2026_05_12.json
77,mod,kr-ktp,Korean Transit Pack,kimth9,kimth9,https://github.com/kimth9,182,182,snapshot_2026_05_12.json
78,map,daytonatti,Daytonatti,soccerjonj,soccerjonj,https://github.com/soccerjonj,180,180,snapshot_2026_05_12.json
79,map,orlando,Orlando,rslurry,slurry,https://github.com/rslurry,179,179,snapshot_2026_05_12.json
80,map,naples,Naples,Maximilian284,max02,https://github.com/Maximilian284,173,173,snapshot_2026_05_12.json
81,map,providence,Providence,soccerjonj,soccerjonj,https://github.com/soccerjonj,160,160,snapshot_2026_05_12.json
82,map,trondheim-val,Trondheim,Valdotorium,Valdotorium,https://github.com/Valdotorium,157,157,snapshot_2026_05_12.json
83,map,sejong-4,Sejong (40km×40km),kimth9,kimth9,https://github.com/kimth9,153,153,snapshot_2026_05_12.json
84,map,yukina-hakodate,函館 (Hakodate),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,151,151,snapshot_2026_05_12.json
85,map,yukina-matsuyama,松山 (Matsuyama),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,150,150,snapshot_2026_05_12.json
86,map,dubai,Dubai,ryandicicco,ryandicicco,https://github.com/ryandicicco,149,149,snapshot_2026_05_12.json
87,map,albany,Albany,soccerjonj,soccerjonj,https://github.com/soccerjonj,148,148,snapshot_2026_05_12.json
88,map,waterloo,Region of Waterloo,Kronifer,Kronifer,https://github.com/Kronifer,146,132,snapshot_2026_05_12.json
89,map,san-juan,San Juan,rslurry,slurry,https://github.com/rslurry,141,141,snapshot_2026_05_12.json
90,map,daegu-3,Daegu (30km×30km),kimth9,kimth9,https://github.com/kimth9,140,140,snapshot_2026_05_12.json
91,map,spokane,Spokane,ryandicicco,ryandicicco,https://github.com/ryandicicco,139,139,snapshot_2026_05_12.json
92,map,jeju-3,Jeju (30km×30km),kimth9,kimth9,https://github.com/kimth9,137,137,snapshot_2026_05_12.json
93,map,yukina-kochi,高知 (Kōchi),ahkimn,Yukina-,https://subwaybuildermodded.com/credits,137,137,snapshot_2026_05_12.json
94,map,nashville,Nashville,soccerjonj,soccerjonj,https://github.com/soccerjonj,135,135,snapshot_2026_05_12.json
