rank,author,author_alias,attribution_link,asset_count,map_count,mod_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
1,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,143,142,1,8602,8602,55678,55678,47076,47076,snapshot_2026_09_26.json,snapshot_2026_08_27.json,8092,8092,510,510
2,pierreggt,pierreggt,https://github.com/pierreggt,77,77,0,3981,3981,8920,8920,4939,4939,snapshot_2026_09_26.json,snapshot_2026_08_27.json,3981,3981,0,0
3,BarKuperman,BarKuperman,https://github.com/BarKuperman,14,11,3,1865,1865,12239,12239,10374,10374,snapshot_2026_09_26.json,snapshot_2026_08_27.json,934,934,931,931
4,Valdotorium,Valdotorium,https://github.com/Valdotorium,7,4,3,1507,1507,15076,15076,13569,13569,snapshot_2026_09_26.json,snapshot_2026_08_27.json,514,514,993,993
5,rslurry,slurry,https://github.com/rslurry,35,33,2,1388,1388,22868,22868,21480,21480,snapshot_2026_09_26.json,snapshot_2026_08_27.json,1124,1124,264,264
6,martig7,martig7,https://github.com/martig7,2,0,2,1304,1304,10665,10665,9361,9361,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,1304,1304
7,crumpetime,muffintime,https://github.com/crumpetime,9,8,1,1173,1173,13742,13742,12569,12569,snapshot_2026_09_26.json,snapshot_2026_08_27.json,443,443,730,730
8,YellowAquarium,YellowAquarium,https://github.com/YellowAquarium,1,0,1,1063,1063,1063,1063,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,1063,1063
9,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,6,0,6,1045,1045,1045,1045,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,1045,1045
10,devenperez,devenperez,https://github.com/devenperez,8,8,0,1007,1007,11538,11538,10531,10531,snapshot_2026_09_26.json,snapshot_2026_08_27.json,1007,1007,0,0
11,Maximilian284,max02,https://github.com/Maximilian284,21,21,0,1006,1006,10195,10195,9189,9189,snapshot_2026_09_26.json,snapshot_2026_08_27.json,1006,1006,0,0
12,budhakr,budhakr,https://github.com/budhakr,27,26,1,848,848,9323,9323,8475,8475,snapshot_2026_09_26.json,snapshot_2026_08_27.json,813,813,35,35
13,Kronifer,Kronifer,https://github.com/Kronifer,10,10,0,833,833,10857,10857,10024,10024,snapshot_2026_09_26.json,snapshot_2026_08_27.json,833,833,0,0
14,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,5,0,5,827,827,7091,7091,6264,6264,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,827,827
15,nzh0172,naz,https://github.com/nzh0172,8,5,3,650,650,7275,7275,6625,6625,snapshot_2026_09_26.json,snapshot_2026_08_27.json,96,96,554,554
16,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,2,0,2,626,626,2813,2813,2187,2187,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,626,626
17,DanielD1909,DanielD1909,https://github.com/DanielD1909,4,1,3,569,569,4155,4155,3586,3586,snapshot_2026_09_26.json,snapshot_2026_08_27.json,18,18,551,551
18,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,0,1,546,546,1390,1390,844,844,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,546,546
19,ryandicicco,ryandicicco,https://github.com/ryandicicco,8,8,0,478,478,4765,4765,4287,4287,snapshot_2026_09_26.json,snapshot_2026_08_27.json,478,478,0,0
20,Rmerr1,Rmerr1,https://github.com/Rmerr1,1,1,0,431,431,602,602,171,171,snapshot_2026_09_26.json,snapshot_2026_08_27.json,431,431,0,0
21,pendulating,pendulating,https://github.com/pendulating,1,0,1,430,430,2376,2376,1946,1946,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,430,430
22,WillBarouch,WillBarouch,https://github.com/WillBarouch,1,1,0,378,378,1675,1675,1297,1297,snapshot_2026_09_26.json,snapshot_2026_08_27.json,378,378,0,0
23,akospanov,akospanov,https://github.com/akospanov,1,1,0,328,328,328,328,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,328,328,0,0
24,danielloong714,danielloong714,https://github.com/danielloong714,1,0,1,326,326,437,437,111,111,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,326,326
25,Zaschrona,Zaschrona,https://github.com/Zaschrona,1,0,1,261,261,261,261,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,261,261
26,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,0,1,254,254,3810,3810,3556,3556,snapshot_2026_09_26.json,snapshot_2026_08_27.json,0,0,254,254
27,holapapie-png,holapapie-png,https://github.com/holapapie-png,2,2,0,247,247,247,247,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,247,247,0,0
28,Meszier83,Meszier83,https://github.com/Meszier83,1,1,0,224,224,224,224,0,0,snapshot_2026_09_26.json,snapshot_2026_08_27.json,224,224,0,0
29,kaicardenas0618,kaicardenas0618,https://github.com/kaicardenas0618,13,10,3,223,223,3937,3937,3714,3714,snapshot_2026_09_26.json,snapshot_2026_08_27.json,21,21,202,202
