listing_type,name,author_alias,total_downloads
map,岡山 (Okayama),Yukina-,64
map,Pulau Pinang,naz,62
map,津軽 (Tsugaru),Yukina-,62
map,Knoxville,slurry,60
map,Riviera Romagnola,max02,59
map,Lublin,Yukina-,58
map,Tri-Cities,ryandicicco,56
map,Gwangju (30km×30km),kimth9,55
map,"Syracuse, NY",Potato Spaghetti Water Balloon Space Federation,53
map,中通り (Nakadōri),Yukina-,46
map,Rzeszów,Yukina-,45
map,Mexicali-Imperial Valley-Yuma,slurry,44
map,Toledo,bean1322,44
map,Liberec - Jablonec nad Nisou,Yukina-,42
map,České Budějovice,Yukina-,41
map,"Akron, OH",bean1322,40
map,Cusco,kaicardenas0618,39
map,熊本 (Kumamoto),Yukina-,37
map,Arequipa,kaicardenas0618,33
map,Johor Bahru,naz,30
map,Kristiansand,slurry,30
map,Jeju (40km×40km),kimth9,28
map,Karlovy Vary,Yukina-,27
map,盛岡 (Morioka),Yukina-,25
map,Pärnu,Yukina-,24
map,Ipoh,naz,23
map,Kielce,Yukina-,20
map,Chiclayo,kaicardenas0618,19
map,Chimbote,kaicardenas0618,18
map,Trujillo,kaicardenas0618,18
map,Zielona Góra,Yukina-,18
map,鳥取 (Tottori),Yukina-,18
map,Iquitos,kaicardenas0618,17
map,Piura,kaicardenas0618,17
map,Tartu,Yukina-,16
map,Olsztyn,Yukina-,15
map,Huancayo/Jauja,kaicardenas0618,14
map,Ida-Viru,Yukina-,12
map,Radom,Yukina-,12
map,Częstochowa,Yukina-,10
map,Jihlava,Yukina-,8
map,Zlín,Yukina-,7
map,Opole,Yukina-,6
map,Legnica - LGOM,Yukina-,5
