date_or_hour,metric,visits
2026-04-23,CH,2
2026-04-23,CN,23
2026-04-23,CZ,1
2026-04-23,DE,58
2026-04-23,DK,3
2026-04-23,DO,1
2026-04-23,EE,1
2026-04-23,ES,12
2026-04-23,FR,12
2026-04-23,GB,10
2026-04-23,HK,4
2026-04-23,HU,1
2026-04-23,ID,16
2026-04-23,IE,8
2026-04-23,IL,7
2026-04-23,IN,6
2026-04-23,IQ,1
2026-04-23,IT,3
2026-04-23,JO,1
2026-04-23,JP,3
2026-04-23,KG,1
2026-04-23,KR,8
2026-04-23,MA,1
2026-04-23,MO,1
2026-04-23,MY,131
2026-04-23,NG,1
2026-04-23,NL,9
2026-04-23,NZ,1
2026-04-23,PK,1
2026-04-23,PL,4
2026-04-23,RO,2
2026-04-23,RU,4
2026-04-23,SE,1
2026-04-23,SG,21
2026-04-23,SN,1
2026-04-23,TH,10
2026-04-23,TN,1
2026-04-23,TW,8
2026-04-23,UA,1
2026-04-23,US,199
2026-04-23,UZ,2
2026-04-23,VN,35
2026-04-25,AU,2
2026-04-25,BE,3
2026-04-25,CA,5
2026-04-25,CN,1
2026-04-25,CZ,3
2026-04-25,DE,4
2026-04-25,DK,3
2026-04-25,ES,1
2026-04-25,FR,4
2026-04-25,GB,10
2026-04-25,HU,1
2026-04-25,IE,1
2026-04-25,IN,1
2026-04-25,TR,3
2026-04-25,US,54
2026-04-26,AR,3
2026-04-26,AU,5
2026-04-26,CA,3
2026-04-26,CH,1
2026-04-26,CZ,1
2026-04-26,DE,9
2026-04-26,DK,3
2026-04-26,ES,6
2026-04-26,FI,4
2026-04-26,FR,6
2026-04-26,GB,9
2026-04-26,HK,2
2026-04-26,HU,2
2026-04-26,ID,1
2026-04-26,IE,1
2026-04-26,IT,1
2026-04-26,JP,3
2026-04-26,MY,1
2026-04-26,NL,8
2026-04-26,NO,1
2026-04-26,PH,2
2026-04-26,PL,6
2026-04-26,SG,6
2026-04-26,UA,1
2026-04-26,US,53
2026-04-27,AU,5
2026-04-27,CA,12
2026-04-27,CH,1
2026-04-27,CZ,1
2026-04-27,DE,19
2026-04-27,FR,6
2026-04-27,GB,4
2026-04-27,IE,4
2026-04-27,IS,11
2026-04-27,IT,4
2026-04-27,JP,3
2026-04-27,KR,5
2026-04-27,NL,1
2026-04-27,PL,4
2026-04-27,US,71
2026-04-28,AU,5
2026-04-28,BA,2
2026-04-28,BE,1
2026-04-28,CA,2
2026-04-28,DE,1
2026-04-28,FR,4
2026-04-28,GB,12
2026-04-28,HK,1
2026-04-28,IL,1
2026-04-28,IT,5
2026-04-28,PT,2
2026-04-28,SG,5
2026-04-28,TW,1
2026-04-28,US,42
2026-04-29,AU,2
2026-04-29,CA,8
2026-04-29,CH,1
2026-04-29,CN,1
2026-04-29,CZ,1
2026-04-29,DE,7
2026-04-29,DK,2
2026-04-29,ES,1
2026-04-29,FR,6
2026-04-29,GB,17
2026-04-29,HK,5
2026-04-29,IE,1
2026-04-29,IL,1
2026-04-29,IT,1
2026-04-29,JP,2
2026-04-29,KR,3
2026-04-29,MX,6
2026-04-29,NL,5
2026-04-29,PH,4
2026-04-29,RS,1
2026-04-29,RU,2
2026-04-29,SG,5
2026-04-29,SK,1
2026-04-29,TR,2
2026-04-29,TW,5
2026-04-29,US,107
2026-04-29,ZW,1
2026-04-30,AU,2
2026-04-30,BE,3
2026-04-30,CA,4
2026-04-30,CN,1
2026-04-30,DE,7
2026-04-30,DK,2
2026-04-30,ES,2
2026-04-30,FR,9
2026-04-30,GB,16
2026-04-30,ID,1
2026-04-30,IN,1
2026-04-30,IT,2
2026-04-30,JP,2
2026-04-30,KR,2
2026-04-30,MY,2
2026-04-30,NL,5
2026-04-30,PL,8
2026-04-30,SE,2
2026-04-30,SG,3
2026-04-30,TR,7
2026-04-30,US,54
2026-05-01,AU,10
2026-05-01,BO,1
2026-05-01,BR,1
2026-05-01,CA,2
2026-05-01,CH,1
2026-05-01,CO,1
2026-05-01,CR,1
2026-05-01,DE,10
2026-05-01,DK,1
