rank,project_key,project_name,author,author_alias,attribution_link,listing_count,download_change,adjusted_download_change,current_total,adjusted_current_total,baseline_total,adjusted_baseline_total,latest_snapshot,baseline_snapshot,map_download_change,adjusted_map_download_change,mod_download_change,adjusted_mod_download_change
25,meszier83/subway-builder-mexico-maps,subway-builder-mexico-maps,Meszier83,Meszier83,https://github.com/Meszier83,1,33,33,180,180,147,147,snapshot_2026_09_23.json,snapshot_2026_09_20.json,33,33,0,0
26,ahkimn/subwaybuilder-regions,subwaybuilder-regions,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,1,32,32,5535,5535,5503,5503,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,32,32
27,ahkimn/subwaybuilder-tw-maps,subwaybuilder-tw-maps,ahkimn,Yukina-,https://subwaybuildermodded.com/credits,9,32,32,4781,4781,4749,4749,snapshot_2026_09_23.json,snapshot_2026_09_20.json,32,32,0,0
28,rexmhall09/subway-builder-performance-mod,Subway-Builder-Performance-Mod,rexmhall09,rexmhall09,https://github.com/rexmhall09,1,32,32,1373,1373,1341,1341,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,32,32
29,roquerodrigo/subway-builder-auto-lines,subway-builder-auto-lines,roquerodrigo,roquerodrigo,https://github.com/roquerodrigo,1,31,31,1555,1555,1524,1524,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,31,31
30,danielloong714/intercity-hsr-trains,intercity-hsr-trains,danielloong714,danielloong714,https://github.com/danielloong714,1,28,28,420,420,392,392,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,28,28
31,seanyushoumori/track-anarchy,track-anarchy,seanyushoumori,seanyushoumori,https://github.com/seanyushoumori,1,27,27,1969,1969,1942,1942,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,27,27
32,akospanov/subwaybuildermaps-russia,subwaybuildermaps-russia,akospanov,akospanov,https://github.com/akospanov,1,27,27,310,310,283,283,snapshot_2026_09_23.json,snapshot_2026_09_20.json,27,27,0,0
33,valdotorium/valdotoriums_trains,Valdotoriums_Trains,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,25,25,3921,3921,3896,3896,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,25,25
34,crumpetime/sb-maps-hkg,sb-maps-hkg,crumpetime,muffintime,https://github.com/crumpetime,1,25,25,3133,3133,3108,3108,snapshot_2026_09_23.json,snapshot_2026_09_20.json,25,25,0,0
35,bobby-047/some-new-trains,Some-new-Trains,Bobby-047,Bobby-047,https://github.com/Bobby-047,1,23,23,3799,3799,3776,3776,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,23,23
36,pendulating/neighborhood-station-names,neighborhood-station-names,pendulating,pendulating,https://github.com/pendulating,1,22,22,2348,2348,2326,2326,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,22,22
37,danield1909/dantrains-abridged,dantrains-abridged,DanielD1909,DanielD1909,https://github.com/DanielD1909,1,20,20,1000,1000,980,980,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,20,20
38,noahgarrf/great-society-subway-train,Great-Society-Subway-Train,NoahGarrf,NoahGarrf,https://github.com/NoahGarrf,1,19,19,165,165,146,146,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,19,19
39,valdotorium/network-status,network-status,Valdotorium,Valdotorium,https://github.com/Valdotorium,1,18,18,3030,3030,3012,3012,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,18,18
40,hsullivan1201/sb-tod,sb-tod,hsullivan1201,hsullivan1201,https://github.com/hsullivan1201,1,17,17,2679,2679,2662,2662,snapshot_2026_09_23.json,snapshot_2026_09_20.json,0,0,17,17
